label,x,y,size,level
Universidad de Padua,-424,-866,2.23606797749979,2
Universidad de Zaragoza,-670,-328,1.7320508075688772,2
Vena,-847,1509,1.4142135623730951,2
West Smithfield,-697,962,1,2
Edward Chaney,-722,931,1,2
Realdo Colombo,-668,953,1,2
Lancelot Browne,-700,915,1,2
Letras postnominales,-683,943,1,2
Ludgate,-690,914,1,2
Lumleian lectures,-713,941,1,2
"John Lumley, 1er barón Lumley",-678,936,1,2
Richard Caldwell,-672,942,1,2
De Motu Cordis,-724,950,1,2
"Newmarket, Suffolk",-676,959,1,2
Vizconde Dorchester,-692,955,1,2
In ordinary,-696,921,1,2
Warden (college),-683,953,1,2
Exercitatio Anatomica de Motu Cordis et Sanguinis in Animalibus,-700,947,1,2
Afganistán,-1266,662,2.23606797749979,2
Ahriman,-2011,751,1,2
Ahura,-1985,762,1,2
Ahura Mazda,-1697,519,1.4142135623730951,2
Alejandro Magno,-414,-725,3,2
Amesha Spenta,-2048,705,1,2
Amu-Daria,-2072,747,1,2
Angelología,-2062,784,1,2
Angra Mainyu,-2030,716,1,2
Aqueménida,-2020,750,1,2
Armenia,-1928,174,1.4142135623730951,2
Aryaman,-2004,782,1,2
Asura,-2033,755,1,2
Avesta,-2029,725,1,2
Avéstico,-1998,752,1,2
Babilonia,-304,586,2.6457513110645907,2
Bactriana,-1761,963,1.4142135623730951,2
Bombay,-2063,747,1,2
Buitre,-2049,722,1,2
Cambises II,-2042,777,1,2
Canaán,-1353,-256,2,2
Catarismo,-1635,887,1.7320508075688772,2
Cautividad babilónica,-2048,733,1,2
China,-616,84,3,2
Ciro II,-2057,753,1,2
Ciro II el Grande,-2006,757,1,2
Conquista islámica de Persia,-2041,727,1,2
Cultura bactro-margiana,-2010,742,1,2
Daena,-2009,733,1,2
Dari,-2019,770,1,2
Darío I,-2020,778,1,2
Deidad,-1352,476,3,2
Demonio,-1815,-389,1.4142135623730951,2
Demonología,-2027,752,1,2
Devoción,-2050,797,1,2
Dharma,-1410,1052,2.6457513110645907,2
Dualismo,-335,703,3,2
Ecologismo,43,71,1.7320508075688772,2
Efedra,-2069,767,1,2
Escatología (religión),-1245,-423,2.23606797749979,2
Escrituras sagradas,-1504,744,3,2
Esenios,-2025,787,1,2
Esmerdis,-2010,802,1,2
Filosofía india,-1242,1156,1.7320508075688772,2
Filosofía persa,-1015,1133,1.4142135623730951,2
Gente del Libro,-1930,184,1.4142135623730951,2
Gnósticos,-1919,181,1.4142135623730951,2
Gujaratí,-2013,784,1,2
Guyarat,-1752,1148,1.4142135623730951,2
Haoma,-2069,728,1,2
Henoteísmo,-1688,524,1.4142135623730951,2
Henoteísta,-1897,914,1.4142135623730951,2
Heródoto,328,-128,3,2
Historias (Heródoto),-773,447,2.23606797749979,2
Idioma avéstico,-1423,1055,1.4142135623730951,2
Igualdad,-2000,797,1,2
Imperio Medo,-2029,797,1,2
Imperio Parto,-1924,192,1.4142135623730951,2
Imperio aqueménida,-1203,-536,2.23606797749979,2
Imperio persa,-610,102,2.6457513110645907,2
Imperio seléucida,-1349,-275,2,2
India,-858,-32,3,2
Infierno,-1849,411,1.7320508075688772,2
Iranio,-1704,526,1.4142135623730951,2
Iraní,-2057,717,1,2
Irán,-1104,67,2.449489742783178,2
Islam,-816,-143,3,2
Judío,-1070,-403,2.23606797749979,2
Juicio Final,-1065,-637,2.23606797749979,2
Kaifeng,-2041,752,1,2
Kurdos,-1907,-210,2,2
